物品ID,GroupID,名字,物品类,物品小类,使用国籍,使用职业,使用职业分支,使用等级,天境等级,叠放数量,买入基础价格,卖出基础价格,基础物品档次,拾取后广播标志,拥有最多个数,能否放快捷栏,绑定标志位,使用期限,死亡掉落固定概率,物品栏图片_正常,物品栏图片_高亮,物品栏图片_无效,物品图标光效ID,宝箱外观资源ID,宝箱闪烁资源ID,是否任务物品,描述,任务物品丢弃时可以配置,使用次数,作用id,浮动提示,是否需要掷骰子,是否同步扩展数据,怪物掉装的音效ID,跨服海盗,物品价值/礼包售价,价值类型0普通1礼包2绑金,家园仓库0不可1可
2036,2036,止水丹,2,1,0,10000,10000,1,,9999,35,10,1,0,0,1,126,0,0,1242,1242,1242,0,4418,1008,0,传闻其药方由神医扁鹊所创，采用数十种珍贵药材提炼而成，可快速补充大量消耗的法力<br><br><br><br><br>[blue]使用后每2秒恢复250点法力值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2036,,0,0,0,1,1,0,0
2037,2037,六阳正气丹,2,1,0,10000,10000,70,,9999,60,15,1,0,0,1,126,0,0,1243,1243,1243,0,4418,1008,0,服用后可觉一股热气直冲天灵，可使服用者精神为之一振，使之迅速恢复法力<br><br><br><br><br>[blue]使用后每2秒恢复300点法力值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2037,,0,0,0,1,1,0,0
2038,2038,一元复始丹,2,1,0,10000,10000,80,,9999,80,20,1,0,0,1,126,0,0,1244,1244,1244,0,4418,1008,0,使用者只要尚存一丝气息，便可迅速补充已消耗的法力<br><br><br><br><br>[blue]使用后每2秒恢复360点法力值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2038,,0,0,0,1,1,0,0
2039,2039,镇心理气丸,2,1,0,10000,10000,90,,9999,115,25,1,0,0,1,126,0,0,1245,1245,1245,0,4418,1008,0,采用珍贵药材所制，服用后可迅速调理经络内息循环，加速内息法力流动，可有效地补充耗损的法力<br><br><br><br><br>[blue]使用后每2秒恢复480点法力值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2039,,0,0,0,1,1,0,0
2040,2040,万物归元丹,2,1,0,10000,10000,100,,9999,150,30,1,0,0,1,126,0,0,1246,1246,1246,0,4418,1008,0,可推动已消耗的法力，使其在小周天里游动，飞速地恢复大量法力<br><br><br><br><br>[blue]使用后每2秒恢复560点法力值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2040,,0,0,0,1,1,0,0
2041,2041,灵芝雪蒿丸,2,1,0,10000,10000,110,,9999,195,40,1,0,0,1,126,0,0,1248,1248,1248,0,4418,1008,0,迅速打通全身经脉处受阻气息，使经脉气息流通顺畅，飞速补充体内法力<br><br><br><br><br>[blue]使用后每2秒恢复620点法力值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2041,,0,0,0,1,1,0,0
2020,2020,回魂大还丹,2,1,0,10000,10000,10,,1000,5000,1000,1,0,0,1,124,0,0,1349,1349,1349,0,4427,1008,0,[green]右键点击使用，每次可瞬间恢复生命值100点，使用冷却：5秒[/green]<br><br><br><br>疗伤圣药，可在[npc]10079[/npc]处购得,,1,2020,,0,0,0,1,1,0,0
2021,2021,九转熊蛇丸,2,1,0,10000,10000,30,,1000,10000,2000,1,0,0,1,124,0,0,1347,1347,1347,0,4427,1008,0,[green]右键点击使用，每次可瞬间恢复生命值240点，使用冷却：5秒[/green]<br><br><br><br>疗伤圣药，可在[npc]10079[/npc]处购得,,1,2021,,0,0,0,1,1,0,0
2022,2022,天王保命丹,2,1,0,10000,10000,50,,1000,15000,4000,1,0,0,1,124,0,0,1348,1348,1348,0,4427,1008,0,[green]右键点击使用，每次可瞬间恢复生命值510点，使用冷却：5秒[/green]<br><br><br><br>疗伤圣药，可在[npc]10079[/npc]处购得,,1,2022,,0,0,0,1,1,0,0
2023,2023,黑玉断续膏,2,1,0,10000,10000,70,,1000,20000,5000,1,0,0,1,124,0,0,1348,1348,1348,0,4427,1008,0,[green]右键点击使用，每次可瞬间恢复生命值930点，使用冷却：5秒[/green]<br><br><br><br>疗伤圣药，可在[npc]10079[/npc]处购得,,1,2023,,0,0,0,1,1,0,0
2024,2024,雪参玉蟾丸,2,1,0,10000,10000,90,,1000,30000,7000,1,0,0,1,124,0,0,1348,1348,1348,0,4427,1008,0,[green]右键点击使用，每次可瞬间恢复生命值1570点，使用冷却：5秒[/green]<br><br><br><br>疗伤圣药，可在[npc]10079[/npc]处购得,,1,2024,,0,0,0,1,1,0,0
2025,2025,生生造化丹,2,1,0,10000,10000,110,,1000,50000,9000,1,0,0,1,124,0,0,1348,1348,1348,0,4427,1008,0,[green]右键点击使用，每次可瞬间恢复生命值2270点，使用冷却：5秒[/green]<br><br><br><br>疗伤圣药，可在[npc]10079[/npc]处购得,,1,2025,,0,0,0,1,1,0,0
2042,2042,九转熊蛇丸,2,1,0,10000,10000,30,,100,100,1,1,0,0,1,124,0,0,1347,1347,1347,0,4427,1008,0,[green]右键点击使用，每次可瞬间恢复生命值300点，使用冷却：30秒[/green]<br><br><br><br>[yellow]竞技场专用[/yellow],,1,2042,,0,0,0,1,1,0,0
2043,2043,天王保命丹,2,1,0,10000,10000,50,,100,100,1,1,0,0,1,124,0,0,1348,1348,1348,0,4427,1008,0,[green]右键点击使用，每次可瞬间恢复生命值600点，使用冷却：30秒[/green]<br><br><br><br>[yellow]竞技场专用[/yellow],,1,2043,,0,0,0,1,1,0,0
2044,2044,黑玉断续膏,2,1,0,10000,10000,70,,100,100,1,1,0,0,1,124,0,0,1348,1348,1348,0,4427,1008,0,[green]右键点击使用，每次可瞬间恢复生命值1200点，使用冷却：30秒[/green]<br><br><br><br>[yellow]竞技场专用[/yellow],,1,2044,,0,0,0,1,1,0,0
2045,2045,雪参玉蟾丸,2,1,0,10000,10000,90,,100,100,1,1,0,0,1,124,0,0,1348,1348,1348,0,4427,1008,0,[green]右键点击使用，每次可瞬间恢复生命值2400点，使用冷却：30秒[/green]<br><br><br><br>[yellow]竞技场专用[/yellow],,1,2045,,0,0,0,1,1,0,0
2046,2046,生生造化丹,2,1,0,10000,10000,110,,100,100,1,1,0,0,1,124,0,0,1348,1348,1348,0,4427,1008,0,[green]右键点击使用，每次可瞬间恢复生命值3600点，使用冷却：30秒[/green]<br><br><br><br>[yellow]竞技场专用[/yellow],,1,2046,,0,0,0,1,1,0,0
2047,2047,三黄宝腊丸,2,1,0,10000,10000,30,,100,100,1,1,0,0,1,109,0,0,1239,1239,1239,0,4427,1008,0,[green]右键点击使用，每次可瞬间恢复法力值300点，使用冷却：30秒[/green]<br><br><br><br>[yellow]竞技场专用[/yellow],,1,2047,,0,0,0,1,1,0,0
2048,2048,通犀地龙丸,2,1,0,10000,10000,50,,100,100,1,1,0,0,1,109,0,0,1241,1241,1241,0,4427,1008,0,[green]右键点击使用，每次可瞬间恢复法力值600点，使用冷却：30秒[/green]<br><br><br><br>[yellow]竞技场专用[/yellow],,1,2048,,0,0,0,1,1,0,0
2049,2049,回阳五龙膏,2,1,0,10000,10000,70,,100,100,1,1,0,0,1,109,0,0,1245,1245,1245,0,4427,1008,0,[green]右键点击使用，每次可瞬间恢复法力值1200点，使用冷却：30秒[/green]<br><br><br><br>[yellow]竞技场专用[/yellow],,1,2049,,0,0,0,1,1,0,0
2050,2050,玉龙苏合散,2,1,0,10000,10000,90,,100,100,1,1,0,0,1,109,0,0,1246,1246,1246,0,4427,1008,0,[green]右键点击使用，每次可瞬间恢复法力值2400点，使用冷却：30秒[/green]<br><br><br><br>[yellow]竞技场专用[/yellow],,1,2050,,0,0,0,1,1,0,0
2051,2051,九转灵宝丸,2,1,0,10000,10000,110,,100,100,1,1,0,0,1,109,0,0,1248,1248,1248,0,4427,1008,0,[green]右键点击使用，每次可瞬间恢复法力值3600点，使用冷却：30秒[/green]<br><br><br><br>[yellow]竞技场专用[/yellow],,1,2051,,0,0,0,1,1,0,0
2052,2052,天王保命丹,2,1,0,10000,10000,40,,100,100,1,1,0,0,1,109,0,0,1348,1348,1348,0,4427,1008,0,[green]右键点击使用，每次可瞬间恢复生命值600点，使用冷却：30秒[/green]<br><br><br><br>[yellow]战场专用[/yellow],,1,2052,,0,0,0,1,1,0,0
2053,2053,通犀地龙丸,2,1,0,10000,10000,40,,100,100,1,1,0,0,1,109,0,0,1241,1241,1241,0,4427,1008,0,[green]右键点击使用，每次可瞬间恢复法力值600点，使用冷却：30秒[/green]<br><br><br><br>[yellow]战场专用[/yellow],,1,2053,,0,0,0,1,1,0,0
2054,2054,续命八丸,2,1,0,10000,10000,1,,100,15,1,1,0,0,1,126,0,0,1232,1232,1232,0,4420,1008,0,以人参、三七等八种珍贵的药物，九蒸九晒，制成的起死回生的药丸<br><br><br><br><br>[blue]使用后每2秒恢复75点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2054,,0,0,0,1,1,0,0
2055,2055,续命散,2,1,0,10000,10000,1,,100,35,10,1,0,0,1,126,0,0,1232,1232,1232,0,4420,1008,0,以人参、三七等八种珍贵的药物，九蒸九晒，制成的起死回生的药丸<br><br><br><br><br>[blue]使用后每2秒恢复160点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2055,,0,0,0,1,1,0,0
2056,2056,三黄宝腊丸,2,1,0,10000,10000,69,,100,60,3,1,0,0,1,126,0,0,1234,1234,1234,0,4420,1008,0,以珍贵药材，配以“三黄”精炼而成，可迅速调解气息，加快治疗自身伤痛<br><br><br><br><br>[blue]使用后每2秒恢复220点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2056,,0,0,0,1,1,0,0
2057,2057,三黄宝腊露(精),2,1,0,10000,10000,79,,9999,10000,5000,1,0,0,1,126,0,0,7586,7586,7586,0,4420,1008,0,以珍贵药材，配以“三黄”精炼而成，可迅速调解气息，加快治疗自身伤痛<br><br><br><br><br>[blue]使用后每2秒恢复330点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2057,,0,0,0,1,1,0,0
2058,2058,通犀地龙丸,2,1,0,10000,10000,79,,100,80,4,1,0,0,1,126,0,0,1233,1233,1233,0,4420,1008,0,迅速使经脉气息流通顺畅，解除一切疲劳之感，使其精神焕发，有效地治愈伤痛<br><br><br><br><br>[blue]使用后每2秒恢复300点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2058,,0,0,0,1,1,0,0
2059,2059,通犀地龙露(精),2,1,0,10000,10000,89,,9999,10000,5000,1,0,0,1,126,0,0,7587,7587,7587,0,4420,1008,0,迅速使经脉气息流通顺畅，解除一切疲劳之感，使其精神焕发，有效地治愈伤痛<br><br><br><br><br>[blue]使用后每2秒恢复450点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2059,,0,0,0,1,1,0,0
2060,2060,白云熊胆丸,2,1,0,10000,10000,89,,100,115,5,1,0,0,1,126,0,0,1235,1235,1235,0,4420,1008,0,用名贵的熊胆调合长白山云雾泉的泉水制成，能够很快地治愈伤痛<br><br><br><br><br>[blue]使用后每2秒恢复400点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2060,,0,0,0,1,1,0,0
2061,2061,白云熊胆露(精),2,1,0,10000,10000,99,,9999,10000,5000,1,0,0,1,126,0,0,7588,7588,7588,0,4420,1008,0,用名贵的熊胆调合长白山云雾泉的泉水制成，能够很快地治愈伤痛<br><br><br><br><br>[blue]使用后每2秒恢复600点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2061,,0,0,0,1,1,0,0
2062,2062,天香断续胶,2,1,0,10000,10000,99,,100,150,7,1,0,0,1,126,0,0,1230,1230,1230,0,4420,1008,0,降妖伏魔的修真之人的护身法宝之一，一药在手，流血不愁<br><br><br><br><br>[blue]使用后每2秒恢复530点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2062,,0,0,0,1,1,0,0
2063,2063,天香断续露(精),2,1,0,10000,10000,109,,9999,10000,5000,1,0,0,1,126,0,0,7589,7589,7589,0,4420,1008,0,降妖伏魔的修真之人的护身法宝之一，一药在手，流血不愁<br><br><br><br><br>[blue]使用后每2秒恢复795点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2063,,0,0,0,1,1,0,0
2064,2064,寒玉冰蟾膏,2,1,0,10000,10000,109,,100,195,9,1,0,0,1,126,0,0,1231,1231,1231,0,4420,1008,0,采用天下至阴至寒之物冰蟾为主料所制成，能迅速冻结伤口，有效地止住流血，并迅速治愈伤痛<br><br><br><br><br>[blue]使用后每2秒恢复690点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2064,,0,0,0,1,1,0,0
2065,2065,寒玉冰蟾膏(精),2,1,0,10000,10000,109,,100,5000,250,1,0,0,1,126,0,0,1231,1231,1231,0,4420,1008,0,采用天下至阴至寒之物冰蟾为主料所制成，能迅速冻结伤口，有效地止住流血，并迅速治愈伤痛<br><br><br><br><br>[blue]使用后每2秒恢复800点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2065,,0,0,0,1,1,0,0
2066,2066,还魂果,2,1,0,10000,10000,119,,100,500,25,1,0,0,1,126,0,0,1236,1236,1236,0,4420,1008,0,采用万年紫玉髓为主料所制成，能迅速治愈伤口，快速回复生命<br><br><br><br><br>[blue]使用后每2秒恢复950点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2066,,0,0,0,1,1,0,0
2067,2067,还魂果(精),2,1,0,10000,10000,119,,100,12000,600,1,0,0,1,126,0,0,1236,1236,1236,0,4420,1008,0,采用万年紫玉髓为主料所制成，能迅速治愈伤口，快速回复生命<br><br><br><br><br>[blue]使用后每2秒恢复1200点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2067,,0,0,0,1,1,0,0
2068,2068,扶摇仙果,2,1,0,10000,10000,121,,100,1000,50,1,0,0,1,126,0,0,1237,1237,1237,0,4420,1008,0,相传此乃菩提老祖留下来的秘药，可调息人体气血经脉，迅速治愈伤口，快速回复生命<br><br><br><br><br>[blue]使用后每2秒恢复1000点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2068,,0,0,0,1,1,0,0
2069,2069,扶摇仙果(精),2,1,0,10000,10000,129,,100,18000,900,1,0,0,1,126,0,0,1237,1237,1237,0,4420,1008,0,相传此乃菩提老祖留下来的秘药，可调息人体气血经脉，迅速治愈伤口，快速回复生命<br><br><br><br><br>[blue]使用后每2秒恢复1800点生命值，一共持续10秒[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2069,,0,0,0,1,1,0,0
2100,2100,回城卷轴,2,1,0,10000,10000,0,,9999,300,100,1,0,0,0,126,0,0,1198,1198,1198,0,4427,1008,0,<br><br><br><br><br>[blue]成功使用后可回到安全复活点<br>读条时间5秒钟[/blue]<br><br><br><br>[yellow]可在杂货商处购买得到[/yellow],,1,2100,,0,0,0,1,1,0,0
2101,2101,初级探矿仪,2,1,0,10000,10000,0,,20,10000,2000,1,0,0,0,126,0,0,1217,1217,1217,0,4427,1008,0,<br><br><br><br>可在[blue]青龙城[/blue]挖出初级强化石等材料<br><br><br><br>有小几率获得中级材料,,1,2101,,0,0,0,0,1,0,0
2102,2102,普通探矿仪,2,1,0,10000,10000,0,,20,100,1,3,1,0,0,126,0,0,1218,1218,1218,0,4427,1008,0,商城道具<br><br><br><br>可在[blue]青龙城[/blue]挖出三档以下强化石等材料<br><br><br><br>有小几率获得更高级材料,,1,2102,,1,0,0,0,1,0,0
2103,2103,中级探矿仪,2,1,0,10000,10000,0,,20,100,1,5,1,0,0,126,0,0,1219,1219,1219,0,4427,1008,0,商城道具<br><br><br><br>可在[blue]飘雪岭[/blue]挖出中级强化石等材料<br><br><br><br>有小几率获得更高级材料,,1,2103,,1,0,0,0,1,0,0
2104,2104,高级探矿仪,2,1,0,10000,10000,0,,20,100,1,7,1,0,0,126,0,0,1220,1220,1220,0,4427,1008,0,商城道具<br><br><br><br>可在[blue]云梦泽[/blue]挖出高级强化石等材料<br><br><br><br>有小几率获得更高级材料,,1,2104,,1,0,0,0,1,0,0
2105,2105,无极天书,2,1,0,10000,10000,0,,1,100,1,1,0,0,0,61,0,0,1191,1191,1191,0,4427,1008,0,<br><br><br><br>无极天书任务已经结束，该物品无法使用，可去杂货商出售或者直接开启兑换3绑金。<br><br><br><br>,,0,2105,,0,0,0,0,1,0,0
2106,2106,变身药水_甲虫,2,1,0,10000,10000,0,,20,100,1,1,0,0,0,126,0,0,1691,1691,1691,0,4427,1008,0,右键点击打开，可一分钟内变身为甲虫,,1,2106,,0,0,0,0,1,0,0
2107,2107,变身药水_恐龙,2,1,0,10000,10000,0,,20,100,1,1,0,0,0,126,0,0,1692,1692,1692,0,4427,1008,0,右键点击打开，可一分钟内变身为恐龙,,1,2107,,0,0,0,0,1,0,0
2108,2108,变身药水_首领,2,1,0,10000,10000,0,,20,100,1,1,0,0,0,126,0,0,1693,1693,1693,0,4427,1008,0,右键点击打开，可一分钟内变身为首领,,1,2108,,0,0,0,0,1,0,0
2109,2109,藏宝图,2,1,0,10000,10000,0,,10,100,1,1,1,0,0,126,0,0,1197,1197,1197,0,4427,1008,0,<br><br>右键点击使用，根据提示在指定位置挖掘可获得各种神秘宝物,,1,2109,,1,0,0,0,1,0,0
2110,2110,高级藏宝图,2,1,0,10000,10000,0,,1,100,1,1,1,0,0,126,0,0,1682,1682,1682,0,4427,1008,0,<br><br>右键点击使用，根据提示在指定位置挖掘可获得各种神秘宝物,,1,2110,,1,0,0,0,1,0,0
2111,2111,体术强化卷轴,2,2,0,0,10000,0,,20,100,1,1,1,0,0,126,0,0,1674,1674,1674,0,4427,1008,0,右键点击使用<br><br>[green]提高附近友方目标最大生命值85点[/green]<br><br><br><br>幻象洞窟怪物产出，只能在幻象洞窟地图使用,,1,2111,,0,0,0,0,1,0,0
